County Reporting,Date of Interview,Name of Employer,# employees at work place,Size Category          Small(0-50)           Large (50+),# of tobacco users at work place,Does employer hire tobacco users?             --yes or no,"Does employer provide health insurance?  yes or no?  If no, proceed to column Y.",Please select type of insurance coverage:  self-insured or fully-insured,Insurance Carrier,"Please select one employer sector: government, healthcare, or business (including private or non-profit)",Any tobacco cessation coverage?,Patch NRT OTC Covered?                     -- Yes or No,Gum NRT OTC Covered?                      -- Yes or No,Lozenge NRT OTC Covered?                    -- yes or no,Covered OTC only?,Inhaler NRT RX Covered?                    -- yes or no,Nose Spray RX Covered?                    -- yes or no,Bupropion RX  Covered?                   -- yes or no,Varenicline RX Covered?                    -- yes or no,Covered RX only?,Covered both OTC and RX?,Individual Counseling Covered?                   -- yes or no,Phone Counseling Covered?                    -- yes or no,Group Counseling Covered?                      -- yes or no,Web Based Counseling Covered?    -- yes or no,Covered some types of counseling?,Covered all types of counseling?,Covers at least 2 Quit Attempts provided per year                  -- yes or no,Are a combination of both cessation medication and counseling covered?,"Any barriers to coverage, such as counseling before medications or    co-pays?             --yes or no","Extent of TFG Policy Coverage -- 100% SFG, 100% TFG, SFIW, or SFIWO     ",E-cigs included in policy as restricted yes or no,Silver FTCA Medication Criteria Met,Gold FTCA Medication Criteria Met,Baseline SOC      BENEFIT,Baseline SOC           TFG Policy,Baseline SOC            Promote Encourage Provide,BaselineWas a referral to a local AHEC  made for this employer this quarter?           Yes or No,Q-1        FY(13-14) SOC      BENEFIT,Q-1        FY(13-14) SOC      TFG Policy,Q-1        FY(13-14) SOC         Promote Encourage Provide,Q-1        Was a referral to a local AHEC  made for this employer this quarter?           Yes or No,Q-2        FY(13-14) SOC      BENEFIT,Q-2        FY(13-14) SOC      TFG Policy,Q-2        FY(13-14) SOC         Promote Encourage Provide,Q-2      Was a referral to a local AHEC  made for this employer this quarter?           Yes or No,Q-3        FY(13-14) SOC      BENEFIT,Q-3        FY(13-14) SOC      TFG Policy,Q-3        FY(13-14) SOC         Promote Encourage Provide,Q-3      Was a referral to a local AHEC  made for this employer this quarter?           Yes or No,Q-4        FY(13-14) SOC      BENEFIT,Q-4        FY(13-14) SOC      TFG Policy,Q-4        FY(13-14) SOC         Promote Encourage Provide,Q-4      Was a referral to a local AHEC  made for this employer this quarter?           Yes or No,"Briefly describe any progress made with this employer from baseline interview.                  (For example, has an employer strengthened a campus policy, instituted a no-hire policy,   increased benefit coverage, or made a decision to do so?  Have you sent this employer emails or information newsletters to maintain regular communication?  Have you spoken by phone or face-fo-face?)","Briefly describe any plans, opportunities or potential strategies to engage this employer in the coming quarter to move them from one stage of change to another."
Manatee,11/21/2013,Three In One Yoga Studio,6,1,0,1,2,99,99,99,88,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,4,2,77,77,1,1,2,No ,88,88,88,88,88,88,88,88,1,1,2,No,88,88,88,88,No further progress has been made with this employer. They are not interested in developing a policy. ,TPS has no plans to further engage this employer.
Manatee,11/22/2013,Air and Energy Inc.,40,1,77,1,1,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,3,3,Yes,88,88,88,88,88,88,88,88,3,4,4,Yes,88,88,88,88,"Air and Energy now has a tobacco-free employee policy, for which the TPS provided language. They also have window clings to enforce a tobacco free company vehicle policy.",No further plans to engage this employer yet.
Manatee,12/12/2013,LA Fitness,12,1,1,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,3,2,Yes,88,88,88,88,88,88,88,88,2,2,2,No,2,2,2,no,No further progress has been made with this employer.,TPS plans to work with LA Fitness to help them procure the window cling.
Manatee,1/13/2014,Blake Medical Center,1150,2,77,1,1,1,1,2,1,77,77,77,77,77,77,77,77,77,77,2,1,2,1,1,2,1,77,77,2,1,77,77,1,5,5,Yes,88,88,88,88,88,88,88,88,88,88,88,88,1,5,5,No,No progress has been made with this employer since the baseline interview. ,"The interviewee was unclear about whether their health benefits covered NRT. The TPS plans to follow up to see if this coverage can be determined, and if there is coverage, make sure employees are aware of it."
Manatee,1/22/2014,Coastal Orthopedics,215,2,77,1,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,88,4,2,2,2,2,3,3,Yes,88,88,88,88,88,88,88,88,88,88,88,88,2,3,3,No,"Coastal Orthopedics has since contacted the TPS about getting signs for a 77% TFG policy. Right now they are leasing their bulding, but soon they will own it and they will get tobacco free signs at that time.",The TPS plans to follow up about a 77%TFG policy. 
Manatee,1/23/2014,SRQ Airport,147,2,6,1,1,1,4,3,1,77,77,77,77,77,77,77,77,77,77,2,1,2,2,1,2,2,77,2,4,2,77,77,2,3,3,Yes,88,88,88,88,88,88,88,88,88,88,88,88,2,3,3,No,"SRQ Airport is interested in posting tobacco free grounds signs, but they still want to have a desig88ted smoking area. ",The TPS plans to follow up about a 77%TFG policy. 
Manatee,6/27/2014,Chulock Law,4,1,0,1,1,2,1,3,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,4,2,77,77,2,2,2,Yes,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,"Chulock Law does not own their property, but is insterested in working with landlord to develop TFG.",Would like TPS to review insurance policy and provide more recommendations. Would like Quitline/AHEC info for employees.
Manatee,6/27/2014,"Healthy Start, Manatee","5 FT, 31, contract",1,0,1,2,88,88,3,88,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,4,2,77,77,2,2,2,Yes,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,Healthy Start does not own property and shares with other businesses. Do not feel TFG are feasible at this time.,Would like Quitline/AHEC info for employees and clients.
Manatee,6/26/2014,Manatee Mosquito Mgmt.,28,1,3,1,1,2,2,3,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,4,2,77,77,2,1,2,Yes,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,Open to discussing TFG in more detail in following quarter.,Would like TPS to review insurance policy and provide more recommendations. Would like Quitline/AHEC info for employees.
Marion,9/5/2012,Marion County BOCC,2500,2,77,2,1,99,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,99,2,2,2,5,5,Y,2,2,4,Y,5,5,5,Y,5,5,5,N,5,5,5,N,"Kept regular contact with employer via email and at local monthly meetings.  Hope to get stronger tobacco free policies for their worksites, of which there are many varied locations around the county.","Employer is interested in learning more about e-cigarettes and updating their TFG policy; used upcoming tobacco holidays (TFF Week, World No Tobacco Day) to engage employer regarding employee cessation."
Marion,10/10/2012,Interfaith Emergency Service,21,1,99,1,1,99,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,99,2,2,2,2,4,Y,2,3,4,Y,3,3,4,Y,3,3,4,N,3,3,4,N,Kept regular contact with employer via email and at local monthly meetings. Helping them with their new tobacco free workplace and shelter policy language..,"Continue to support efforts for a no-hire policy and 77%TFG (policy language suggestions, research to back up policies)"
Marion,11/8/2012,Ocala Health,1300,2,99,1,1,99,12,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,99,2,2,4,5,2,Y,3,5,4,N,3,5,5,N,3,5,5,N,3,5,5,N,"Sent emails and communications, briefly met face to face at community meetings.  ","Received message that they now have higher insurance premiums for tobacco users starting Jan. 1, 2014"
Marion,12/14/2012,Hospice Marion County,319,2,99,2,1,99,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,77,3,99,2,2,3,2,4,Y,3,2,4,N,3,2,4,Y,3,2,4,N,3,2,4,N,"Sent emails and communications, briefly met face to face at community meetings. ",Will continue to speak with representatives at regular meetings to stay up to date with their tobacco policies.  Friend switched jobs since last update.
Marion,3/29/2013,"PACE Center for Girls, Inc.",99,1,99,1,1,99,99,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,99,2,2,2,2,3,N,2,2,4,N,2,2,4,Y,2,2,4,N,2,2,4,N,"Sent emails and communications, met face to face at community meetings and provided tobacco cessation and educatio88l literature for their worksite. ",Continue to provide tobacco cessation educatio88l materials for their work site.
Marion,3/27/2012,Arnette House,99,1,99,1,1,99,99,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,99,2,2,1,2,4,Y,1,2,4,N,1,2,4,N,1,2,4,N,1,2,4,N,Met face to face and sent emails and communications to maintain relationship.  They have had staff turnover and are still not currently working on tobacco policies.,"Employer is interested in learning more about e-cigarettes and updating their TFG policy, but their priorities are still on fund raising at this time.  "
Marion,3/27/2013,Parkside Garden Apartments,99,1,99,1,1,99,99,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,77,4,99,2,2,1,2,4,N,1,2,4,N,1,2,4,Y,1,2,4,N,1,2,4,N,"Sent emails and communications and provided tobacco cessation literature for their residents and employees.  Not currently working on tobacco policies, but still express interest for future discussions.","Employer is still interested in updating their TFG policy, but cannot meet at this time."
Marion,6/21/2013,Closet Maid,400,2,200,1,1,99,99,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,99,2,2,2,3,4,Y,3,3,4,Y,2,3,4,Y,2,3,4,N,2,3,4,N,"Sent emails and communications; employer has made steps to strengthen campus policy to 77%TFG, potentially including e-cig, by Oct. 2014; is contemplating instituting no-hire policy, gave a lot of research and policy language ideas upon request to support this decision.  Provided  tobacco cessation literature for display in employee breakrooms.","Will provide tobacco ed. sessions for employees to promote TFG policy, encourage cessation in tobacco users; provide promotio88l materials and support for upcoming tobacco holidays. Their Occupatio88l Health Nurse attended our annual Tobacco Summit to keep up to date on tobacco issues."
Marion,6/25/2013,Golden Flake,60,2,15-20%,1,1,1,10,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,77,4,99,2,2,1,1,2,N,1,1,2,N,1,1,2,N,1,1,2,N,1,1,2,N,"Still have not been able to make a connection at this workplace, but will continue trying.  Sent more emails and left phone messages.",Will arrange a face to face meeting to discuss benefits and TFG policies if contact is made.
Marion,6/27/2013,Global Commercial Real Estate Service LLC,99,1,99,1,2,99,99,3,88,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,77,4,99,2,2,1,1,2,Y,1,1,2,N,1,1,2,N,1,1,2,N,1,1,2,N,Checked in by email; replenishing Quitline materials.,"Will call to follow up on any changes/additions to benefits; most employees work from home, so TFG policies not really applicable"
Marion,4/8/1900,Marion County Board of Commissioners,2500,2,99,99,1,99,4,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,99,2,2,2,5,5,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,77 why this employer is listed twice??,99
Marion,4/8/1900,Marion County Public Schools,6000,2,750,99,1,99,6,4,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,2,1,1,2,2,99,1,1,1,5,4,Y,1,2,4,Y,2,3,4,Y,2,3,4,Y,2,3,4,Y,"Met face to face, sent emails, newsletters; are more strongly contemplating the e-cigarette issue on campuses, and strengthening written policies to include more comprehensive tobacco control policies.  ","Due to discussions and education at committee meetings this quarter, they have updated their Student Code of Conduct to include electronic cigarette devices and parapher88lia.  Next step will hopefully be for employees."
Marion,4/8/1900,City of Ocala,99,99,99,99,1,99,6,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,99,2,2,2,5,2,99,99,99,99,99,2,3,2,Y,2,3,2,N,2,3,2,N,"Sent emails, newsletter info; they are still contemplating strengthening their tobacco free workplace policies.",Still trying to arrange a meeting to follow up on benefits and TFG policies
Marion,7/28/2012,Munroe Regional Hospital,2600,2,77,1,1,99,11,2,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,77,2,99,1,1,5,5,4,Y,5,5,4,N,5,5,5,Y,5,5,5,N,5,5,5,N,"Met, called, sent emails with info., newsletters.  Provide Quitline and other educatio88l  brochures for their breakrooms.","Will continue to offer cessation and educatio88l materials, any other requested info.  Have been included as the tobacco expert on their new Diabetes Work Group."
Marion,8/14/2013,The Vines Hospital,180,2,77,1,1,99,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,4, N,88,88,88,88,2,2,4,N,2,2,4,N,2,2,4,N,"Called, sent emails with info., newsletters to maintain relationship until we can get a meeting scheduled.  They have had staff turnover  causing delays in tobacco policy discussion.",Will continue to call to arrange for a meeting to discuss collaboration opportunities
Marion,9/26/2013,Robert Boissoneault Oncology Institute,112,2,4,2,1,2,6,2,1,1,1,99,77,99,99,2,2,2,77,2,2,2,2,2,2,2,2,2,2,2,77,77,1,5,4,N,88,88,88,88,1,5,4,Y,1,5,4,Y,1,5,4,N,"Met, called, sent emails with info., newsletters; employer has not hired tobacco users for over 20 years.  Provide them with flyers and Facebook posts to publish upcoming local cessation classes.","Will continue to offer cessation and educatio88l materials, any other requested info."
Marion,8/8/2013,HealthSouth Rehabilitation Hospital of Ocala,200,2,77,1,1,99,99,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,Y,88,88,88,88,2,3,4,N,2,3,4,N,2,3,4,N,"Called, sent emails with info., newsletters to maintain relationship until we can get a meeting scheduled.",Will continue to try and work with admin. via calls and emails to arrange follow up meeting; 
Marion,12/13/2013,Tri Eagle Sales Ocala,77,2,77,1,1,2,11,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,1,2,Y,88,88,88,88,88,88,88,88,2,1,2,N,2,1,2,N,No updates for this employer.,Their HQ is in Tallahassee; still need to make a connection in human resources.
Marion,12/16/2013,Marion Reg. Juvenile Detention Center,65,2,10,1,1,2,12,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,Y,88,88,88,88,88,88,88,88,2,1,3,Y,2,1,3,N,"Called, emailed, sent newsletters and other communications, see briefly at local monthly meetings.  I continue to provide tobacco education at this worksite for their youth inmates.  ",Tobacco cessation and educatio88l brochures have been provided for the employee break room and briefing room.  Still working on getting to the folks in HQ to discuss worksite policies; they are dealing with staff turnover.
Marion,12/18/2013,College of Central Florida,408,2,77,1,1,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,4,3,Y,88,88,88,88,88,88,88,88,3,4,3,Y,3,4,4,Y,The Student Government worked on this issue for years and fi88lly passed a strong tobacco free campus policy to start in 2014.  Have been working closely with Director of Student Services and tabling at campus events and health fairs to advertise their new tobacco policy.  Need to do more research about employee reaction to new policies.,"Tobacco cessation classes have been held on campus for students, faculty and community members, with more planned.  They posted their own tobacco free zone signs around campus, but enforcement is still a major issue."
Marion,1/7/2014,Custom Windows,770,2,77,1,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,88,3,1,2,2,4,2,3,N,88,88,88,88,88,88,88,88,4,2,3,N,4,2,3,N,"Have not been able to reach HR Director at Custom Window Systems; she is currently busy with other issues.  She did add me to her LinkedIn profile this quarter, so she is still aware of our presence and available services.",The HR Director took all of the information provided to present to her supervisors and will contact me to set up a follow up meeting when they are ready to move forward.--have not heard back yet despite efforts to reach HR Director.
Marion,3/25/2014,E-One,99,2,77,99,1,2,4,3,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,3,2,77,77,1,1,1,N,88,88,88,88,88,88,88,88,1,1,1,N,1,1,1,N, Benefits Coordi88tor at E-One was initially very hesitant to provide any details beyond the fact that they have 41 insurance.  She said that she would share the information provided and then get back with me but I have not heard back yet.,I hope to make contact with the administrators at this business at some point to gauge their interest in ECC policies and complete the initial survey.
Marion,3/28/2014,HDG Hotel Management,305,2,77,1,2,99,99,99,88,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,99,77,3,2,77,77,2,2,2,N,88,88,88,88,88,88,88,88,2,2,2,N,2,2,3,N,HR Director at HDG Hotels contacted me for brochures and other quit smoking literature for sharing at regio88l meetings of their company.  They are still planning to move forward with employee cessation initiatives.,The HR Director took all of the information provided to present to her supervisors and will contact me to set up a follow up meeting when they are ready to move forward.  They have shared the information with most of their staff this quarter and are deciding their next move.
Marion,4/15/2014,Hawthorne Village Retirement Community,350,2,77,1,1,99,11,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,77,3,2,2,2,2,2,2,N,88,88,88,88,88,88,88,88,88,88,88,88,2,2,2,N,Baseline interview--met the Estates Ma88ger at a health fair where we exchanged information and she expressed strong interest in bringing tobaco free policies to her workplace.  She provided initial information about the company including the proper contact in administration.,Still waiting for administrator to return my message.
Marion,6/11/2014,Mojo Grill,150,2,105,1,2,99,99,99,88,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,3,2,77,77,3,3,3,Y,88,88,88,88,88,88,88,88,88,88,88,88,3,3,3,Y,"Baseline interview--met the community liaison/catering ma88ger (who happens to be a tobacco user) and shared the ECC presentation.  They do not have insurance for employees but are very engaged in helping their employees to be as healthy as possible, including hosting employee fellowship meetings every Weds. morning.","They requested that we help them to set up work site employee cessation classes in August; the TPS is following up on this request and already sent the ECC power point to the rest of the administrators for their review and education as they consider adding employee benefits due to their growing workforce, which they expect to double in the next few months due to other restaurant locations opening."
Marion,6/24/2014,The Salvation Army,60,2,77,1,1,1,11,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,77,3,2,2,2,2,2,2,Y,88,88,88,88,88,88,88,88,88,88,88,88,2,2,2,Y,"Baseline interview--spoke with the ma88ger of the senior, low income apartment complex owned by The Salvation Army, as well as the local office's administrative assisstant to gather prelimi88ry information regarding employee tobacco cessation offerings/policies.  The Administrators are out of town currently, but expressed interest inlearning more about out program.","Will follow up with the administration in August upon their return from vacation, if they do not return my messages."
Martin,7/20/2012,Children's Services Council,12,1,0,2,1,2,99,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,4,4,N,1,4,4,N,1,4,4,N,1,4,4,N,1,4,4,N,Contact was made with this employer via email to provide them with educatio88l resources to share at their worksite.  They continue to promote the Three Ways to Quit program and smoke free policies at the workplace.,"Continuing to provide this employer with emerging tobacco trends has resulted in a strong relationship, therefore continuing to educate this employer via other communication methods will solidify this relationship."
Martin,8/3/2013,Helping People Succeed,70,2,4,1,1,2,99,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,4,Y,2,2,4,Y,2,2,4,N,2,2,4,N,2,2,4,N,Contact was made with this employer via email to provide them with educatio88l resources to share at their worksite.  They continue to promote the Three Ways to Quit program and smoke free policies at the workplace.,"Continuing to provide this employer with emerging tobacco trends has resulted in a strong relationship, therefore continuing to educate this employer via other communication methods will enhance their future tobacco-free policies."
Martin,12/18/2012,Sandhill Cove,60,2,6,1,1,2,99,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,3,N,2,2,3,N,2,2,3,N,2,3,3,N,2,3,3,N,Face to face contact was made this quarter.  The ED of Sandhill Cove communicated that they'd like to move forward with a 77% TF workplace policy in the 2014-2015 fiscal year.  They'd also like to move forward with SFMUH.,"Continuing to provide resources to this employer, including newsletter and face to face meetings, has proven successful in moving forward with policy changes."
Martin,11/26/2012,Whole Child Connection,7,1,0,2,1,1,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,4,4,N,1,4,4,N,1,4,4,N,1,4,4,N,1,4,4,N,No contact was made with this employer.  No smokers are employed and employer is not interested in changing any policies in writing.,"Communication will continue with this employer, via newsletter and education, but at this time they have no interest in moving forward."
Martin,2/6/2013,Volunteers in Medicine Clinic,15,1,0,2,1,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,77,2,2,2,2,1,3,4,N,1,3,4,N,1,3,4,N,1,3,4,N,1,4,4,N,"Employer received the TFP newsletter this quarter, and face to face contact was made.  They also attended the Annual TFP Awards Luncheon.",Contact will continue to enhance their current workplace policies.
Martin,3/13/2013,Tykes and Teens,43,1,8,1,1,2,99,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,1,1,2,Y,1,1,2,Y,1,1,2,N,1,1,2,N,1,1,2,N,"This employer has received the TFP newsletter, but due to staffing changes they are not interested in further contact at this time.","No plans are currently made, although contact will be continued in case their situation changes in the future."
Martin,4/1/2013,Palm Tree Auto Sales and Service,12,1,3,1,2,99,99,3,88,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,1,1,1,N,1,1,1,N,1,1,1,N,1,1,1,N,1,1,1,N,"This employer has received the TFP newsletter, but due to staffing changes they are not interested in further contact at this time.  They did, however, host an awareness event for the Partnership this quarter, expressing community support for our goal areas.","No plans are currently made, although contact will be continued in case their situation changes in the future."
Martin,4/3/2013,Martin County Sheriff's Department,880,2,50,1,1,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,4,Y,2,2,4,Y,2,2,4,Y,2,3,4,N,2,3,4,N,"This quarter, the Sheriff's Department adopted a no-hire policy for tobacco users.  They also expressed support for a county tobacco free policy.",Follow up communication with this employer and their HR company will continue to assist them in moving forward with smoke-free policies.
Martin,4/8/1900,Martin County Board of County Commissioners,6266,2,860,1,1,2,4,6,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,4,2,N,2,4,2,N,2,4,2,N,2,4,2,Y,2,4,2,N,Contact was made to order sig88ge for this employer to enhance their tobacco free grounds policy.,Attempts to schedule a meeting to discuss potential tobacco free policy changes will continue.  They will also continue to receive the TFP newsletter and education emails.
Martin,4/8/1900,Martin County School District,3000,2,430,1,1,2,4,4,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,4,2,N,2,4,2,N,2,4,2,N,2,4,3,N,2,4,3,N,This employer has placed enhancements to their current TFG policy that were approved at the First Reading at the May School Board meeting.,"The School Board continues to move forward with enhancements to their smoke free workplace policy and the addition of e-cigarettes, with the second reading happening over the summer."
Martin,4/8/1900,City of Stuart,380,2,99,1,1,2,7,5,1,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,N,2,2,2,N,3,3,3,Y,4,4,4,Y,4,4,4,N,The City of Stuart has adopted a 77% Tobacco Free Workplace policy.  Assistance was provided via email this quarter in implementing the policy.  Sig88ge was ordered and installed at the City properties and the TPS participated in this employer's wellness fair this Quarter.,"Contact via email will continue, and assistance will continue to be provided to answer their questions about their new policy.  We will also be participating in their upcoming wellness fair."
Martin,8/1/2013,Hobe Sound Chamber of Commerce,4,1,0,2,2,99,99,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,1,3,2,N,1,4,2,N,1,4,2,N,1,4,2,N,1,4,2,N,Contact was made via email with this employer through the Quarterly Newsletter.,Contact will continue with this employer via face to face meetings at events and email to continually reinforce tobacco free workplace strategies.
Martin,9/12/2013,Awareness Technology,170,2,77,1,1,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,1,2,Y,2,1,2,Y,2,2,3,Y,2,2,3,N,2,2,3,N,"The employer received the TFP newsletter this quarter.  They have not yet decided to move forward with more onsite cessation classes, but remain interested.",Email and phone communication will continue as they prepare to continue on-site classes for smoking cessation after their first class January 7.
Martin,10/17/2013,Waterblasting Technologies,110,2,30,1,1,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,Y,99,99,99,99,2,2,2,Y,2,2,2,N,2,2,2,N,Phone contact was made with this employer this quarter.  They are still preparing to move forward with possible smoke-free policies and plan to contact their insurance company as well.  The HR Ma88ger has been busy with other policy changes and contact will continue to ensure TF policies are addressed in the near future.  No change in Quarter 4.,"They are still in the planning stages to determine what they are interested in implementing in the workplace, so email contact will continue to get updates on their progress until they are ready to move forward with cessation referrals, policy changes, and adding additio88l insurance benefits."
Martin,12/18/2013,Jupiter Island Pools,27,1,10,1,1,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,N,99,99,99,99,1,2,2,N,1,2,2,N,1,2,2,N,Follow up communication took place to provide them with sample policy language.  No further contact occurred this quarter.,This employer has yet to express an interest in further policy changes or on-site cessation classes.  Newsletter and education emails will continue to be sent to encourage consideration of changes in the future.
Martin,1/30/2014,Triumph Aerostructures,250,2,25,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,N,99,99,99,99,99,99,99,99,1,2,2,N,1,2,2,N,"Initial contact was made with this employer this quarter, with an interview for current ECC policies, and follow-up by attending their company family picnic with a booth.  While the employer was 77 of their insurance benefits for cessation, they do currently ban all smoking on their property, due to safety hazards.  We suggested they extend this policy to include all tobacco products, and they implement cessation benefits in their workplace.  While the employer was not ready to move forward with these measures at the time, they continue to receive the partnership newsletter and remain in contact.","Continuing to provide this employer with emerging tobacco trends has resulted in a strong relationship, therefore continuing to educate this employer via other communication methods will solidify this relationship."
Martin,3/12/2014,Indiantown Chamber of Commerce,2,1,0,1,2,99,99,99,88,99,99,99,77,99,99,99,99,77,77,99,99,99,99,77,77,99,77,99,2,2,77,77,88,3,3,N,99,99,99,99,99,99,99,99,88,3,3,N,88,3,3,N,"This Quarter, this employer served as a referral point to bring other large employers in Indiantown to the table for cessation resources.  They continue to employ no tobacco users.",Contact will continue in the future to promote the Three Ways to Quit program at their workplace and throughout their community.
Martin,5/23/2014,Allegro Senior Living,130,2,2,1,1,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,1,2,3,Y,99,99,99,99,99,99,99,99,99,99,99,99,1,2,3,Y,"Initial contact was made with this employer this quarter.  Policy decisions are made offsite at the corporate office, but they are interested in stronger tobacco free grounds policies and promoting the Three Ways to Quit Program.  Presentations onsite will be scheduled and a referral was made to AHEC.","Next quarter, this employer will be contacted for onsite presentations to encourage their employees to quit tobacco use and enroll in the Three Ways to Quit program.  Sig88ge will also be discussed to enhance the tobacco free gorunds policy."
Martin,5/27/2014,House of Hope,24,1,0,1,1,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,3,Y,99,99,99,99,99,99,99,99,99,99,99,99,1,2,3,Y,"Initial contact was made this quarter, and they wish to move forward with providing onsite classes with AHEC, promoting the Three Ways to Quit program, and increasing sig88ge on site to enhance their toabcco free grounds policy.","Follow up conversations will take palce with this employer to continue onsite classes, enhance classes, and hopefluly encourage all employees to remain tobacco free.  This employer is interested in continued contact and receiving newsletters from the Partnership."
Miami-Dade,9/20/2012,Concept House,15,1,1,99,2,99,88,3,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,2,88,1,2,2,88,88,88,4,4,No,88,5,4,No,88,5,5,No,88,5,5,No,88,5,5,No,The grantee contiues to maintain contact with the employer. The employer continues to receive educatio88l material from Miami Dade AHEC while maintaining their tobacco free grounds and 3 ways to quit. The employer has also recommended our program to other agencies that are interested in going tobacco free.,Grantee will continue to engage and assist employer in the new fiscal year.
