"","mosquito","site1","site2","site3","site4","site5","site6","code","nTraps","date","site7","site8","site9","site10"
"1922","Culiseta  melanura",NA,NA,NA,NA,NA,NA,41,6,2008-05-27,NA,NA,NA,NA
"1923","Coquillettidia  perturbans",NA,NA,3,NA,NA,NA,60,6,2008-05-27,NA,NA,NA,NA
"1924","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2008-05-27,NA,NA,NA,NA
"1925","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2008-05-27,NA,NA,NA,NA
"1926","Psorophora  ciliata",NA,NA,NA,NA,NA,NA,51,6,2008-05-27,NA,NA,NA,NA
"1927","P. columbiae",NA,NA,1,NA,1,2,50,6,2008-05-27,NA,NA,NA,NA
"1928","P. ferox",NA,NA,NA,NA,NA,NA,52,6,2008-05-27,NA,NA,NA,NA
"1929","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2008-05-27,NA,NA,NA,NA
"1930","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2008-05-27,NA,NA,NA,NA
"1931","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2008-05-27,NA,NA,NA,NA
"1932","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2008-05-27,NA,NA,NA,NA
"1933","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2008-05-27,NA,NA,NA,NA
"1934","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2008-05-27,NA,NA,NA,NA
"1935","Aedes albopictus",NA,NA,NA,NA,NA,NA,2,6,2009-05-26,NA,NA,NA,NA
"1936","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2009-05-26,NA,NA,NA,NA
"1937","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2009-05-26,NA,NA,NA,NA
"1938","Ochlerotatus atlanticus",8,3,13,NA,NA,319,9,6,2009-05-26,NA,NA,NA,NA
"1939","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2009-05-26,NA,NA,NA,NA
"1940","O. fulvus pallens",NA,NA,NA,NA,NA,26,8,6,2009-05-26,NA,NA,NA,NA
"1941","O. infirmatus",10,17,22,NA,NA,241,7,6,2009-05-26,NA,NA,NA,NA
"1942","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2009-05-26,NA,NA,NA,NA
"1943","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2009-05-26,NA,NA,NA,NA
"1944","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2009-05-26,NA,NA,NA,NA
"1945","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2009-05-26,NA,NA,NA,NA
"1946","Anopheles crucians",1,12,12,NA,NA,136,34,6,2009-05-26,NA,NA,NA,NA
"1947","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2009-05-26,NA,NA,NA,NA
"1948","Culex  erraticus",27,5,7,NA,NA,79,25,6,2009-05-26,NA,NA,NA,NA
"1949","C. nigrapalpus",1,NA,NA,NA,NA,NA,42,6,2009-05-26,NA,NA,NA,NA
"1950","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2009-05-26,NA,NA,NA,NA
"1951","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2009-05-26,NA,NA,NA,NA
"1952","C.  salinarius",NA,NA,NA,NA,NA,NA,23,6,2009-05-26,NA,NA,NA,NA
"1953","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2009-05-26,NA,NA,NA,NA
"1954","Culiseta  melanura",NA,NA,NA,NA,NA,86,41,6,2009-05-26,NA,NA,NA,NA
"1955","Coquillettidia  perturbans",NA,NA,4,NA,NA,NA,60,6,2009-05-26,NA,NA,NA,NA
"1956","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2009-05-26,NA,NA,NA,NA
"1957","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2009-05-26,NA,NA,NA,NA
"1958","Psorophora  ciliata",NA,NA,NA,NA,NA,NA,51,6,2009-05-26,NA,NA,NA,NA
"1959","P. columbiae",NA,NA,NA,NA,NA,NA,50,6,2009-05-26,NA,NA,NA,NA
"1960","P. ferox",NA,NA,NA,NA,NA,NA,52,6,2009-05-26,NA,NA,NA,NA
"1961","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2009-05-26,NA,NA,NA,NA
"1962","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2009-05-26,NA,NA,NA,NA
"1963","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2009-05-26,NA,NA,NA,NA
"1964","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2009-05-26,NA,NA,NA,NA
"1965","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2009-05-26,NA,NA,NA,NA
"1966","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2009-05-26,NA,NA,NA,NA
"1967","Aedes albopictus",NA,1,NA,2,1,NA,2,9,2013-06-25,1,NA,NA,NA
"1968","A. aegypti",NA,NA,NA,NA,NA,NA,3,9,2013-06-25,NA,NA,NA,NA
"1969","A. vexans",NA,NA,NA,NA,1,NA,1,9,2013-06-25,NA,1,NA,NA
"1970","Ochlerotatus atlanticus",80,10,NA,NA,1,8,9,9,2013-06-25,NA,5,86,NA
"1971","O. dupreei",NA,NA,NA,NA,NA,NA,18,9,2013-06-25,NA,NA,NA,NA
"1972","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,9,2013-06-25,NA,NA,NA,NA
"1973","O. infirmatus",2,NA,NA,1,2,NA,7,9,2013-06-25,NA,1,10,NA
"1974","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,9,2013-06-25,NA,NA,NA,NA
"1975","O. sollicitans",NA,NA,NA,NA,NA,NA,15,9,2013-06-25,NA,NA,NA,NA
"1976","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,9,2013-06-25,NA,NA,NA,NA
"1977","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,9,2013-06-25,NA,NA,NA,NA
"1978","Anopheles crucians",27,16,2,NA,NA,6,34,9,2013-06-25,NA,55,34,NA
"1979","A. quadrimaculatus",NA,1,NA,NA,NA,NA,31,9,2013-06-25,NA,NA,NA,NA
"1980","Culex  erraticus",18,7,16,NA,NA,9,25,9,2013-06-25,NA,6,20,NA
"1981","C. nigripalpus",3,14,4,NA,1,31,42,9,2013-06-25,NA,34,20,NA
"1982","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,9,2013-06-25,NA,NA,NA,NA
"1983","C. restuans",NA,NA,NA,NA,NA,NA,21,9,2013-06-25,NA,NA,NA,NA
"1984","C.  salinarius",NA,NA,NA,NA,NA,NA,23,9,2013-06-25,NA,NA,NA,NA
"1985","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,9,2013-06-25,NA,NA,NA,NA
"1986","Culiseta  melanura",2,NA,NA,NA,NA,NA,41,9,2013-06-25,NA,NA,4,NA
"1987","Coquillettidia  perturbans",2,NA,NA,NA,NA,4,60,9,2013-06-25,NA,25,NA,NA
"1988","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,9,2013-06-25,NA,NA,NA,NA
"1989","M. dyari",3,2,1,NA,NA,4,48,9,2013-06-25,NA,77,NA,NA
"1990","Psorophora  ciliata",2,NA,NA,NA,NA,1,51,9,2013-06-25,NA,NA,NA,NA
"1991","P. columbiae",4,NA,NA,NA,NA,2,50,9,2013-06-25,NA,2,2,NA
"1992","P. ferox",NA,NA,NA,NA,NA,NA,52,9,2013-06-25,NA,NA,52,NA
"1993","P. howardii",NA,NA,NA,NA,NA,NA,54,9,2013-06-25,NA,NA,NA,NA
"1994","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,9,2013-06-25,NA,NA,NA,NA
"1995","Uranotaenia  sapphirina",NA,2,NA,NA,NA,NA,70,9,2013-06-25,NA,NA,NA,NA
"1996","U.  lowii",NA,NA,NA,NA,NA,NA,71,9,2013-06-25,NA,NA,NA,NA
"1997","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,9,2013-06-25,NA,NA,NA,NA
"1998","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,9,2013-06-25,NA,NA,NA,NA
"1999","Other (Cx coronator)",1,NA,NA,NA,NA,NA,100,9,2013-06-25,1,NA,NA,NA
"2000","Aedes albopictus",NA,NA,NA,NA,1,NA,2,6,2012-06-27,NA,NA,NA,NA
"2001","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2012-06-27,NA,NA,NA,NA
"2002","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2012-06-27,NA,NA,NA,NA
"2003","Ochlerotatus atlanticus",12,5,NA,16,1,6,9,6,2012-06-27,NA,NA,NA,NA
"2004","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2012-06-27,NA,NA,NA,NA
"2005","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2012-06-27,NA,NA,NA,NA
"2006","O. infirmatus",17,12,NA,5,7,17,7,6,2012-06-27,NA,NA,NA,NA
"2007","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2012-06-27,NA,NA,NA,NA
"2008","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2012-06-27,NA,NA,NA,NA
"2009","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2012-06-27,NA,NA,NA,NA
"2010","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2012-06-27,NA,NA,NA,NA
"2011","Anopheles crucians",5,NA,NA,1,NA,5,34,6,2012-06-27,NA,NA,NA,NA
"2012","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2012-06-27,NA,NA,NA,NA
"2013","Culex  erraticus",8,1,NA,13,6,37,25,6,2012-06-27,NA,NA,NA,NA
"2014","C. nigrapalpus",35,31,7,37,15,115,42,6,2012-06-27,NA,NA,NA,NA
"2015","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2012-06-27,NA,NA,NA,NA
"2016","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2012-06-27,NA,NA,NA,NA
"2017","C.  salinarius",NA,NA,NA,NA,NA,NA,23,6,2012-06-27,NA,NA,NA,NA
"2018","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2012-06-27,NA,NA,NA,NA
"2019","Culiseta  melanura",NA,NA,NA,NA,NA,NA,41,6,2012-06-27,NA,NA,NA,NA
"2020","Coquillettidia  perturbans",1,NA,NA,NA,NA,NA,60,6,2012-06-27,NA,NA,NA,NA
"2021","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2012-06-27,NA,NA,NA,NA
"2022","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2012-06-27,NA,NA,NA,NA
"2023","Psorophora  ciliata",NA,2,1,NA,NA,NA,51,6,2012-06-27,NA,NA,NA,NA
"2024","P. columbiae",NA,NA,NA,NA,NA,NA,50,6,2012-06-27,NA,NA,NA,NA
"2025","P. ferox",NA,NA,NA,NA,NA,NA,52,6,2012-06-27,NA,NA,NA,NA
"2026","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2012-06-27,NA,NA,NA,NA
"2027","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2012-06-27,NA,NA,NA,NA
"2028","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2012-06-27,NA,NA,NA,NA
"2029","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2012-06-27,NA,NA,NA,NA
"2030","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2012-06-27,NA,NA,NA,NA
"2031","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2012-06-27,NA,NA,NA,NA
"2032","Aedes albopictus",NA,NA,1,1,NA,1,2,6,2008-05-27,NA,NA,NA,NA
"2033","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2008-05-27,NA,NA,NA,NA
"2034","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2008-05-27,NA,NA,NA,NA
"2035","Ochlerotatus atlanticus",NA,NA,7,1,5,NA,9,6,2008-05-27,NA,NA,NA,NA
"2036","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2008-05-27,NA,NA,NA,NA
"2037","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2008-05-27,NA,NA,NA,NA
"2038","O. infirmatus",NA,10,12,NA,9,NA,7,6,2008-05-27,NA,NA,NA,NA
"2039","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2008-05-27,NA,NA,NA,NA
"2040","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2008-05-27,NA,NA,NA,NA
"2041","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2008-05-27,NA,NA,NA,NA
"2042","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2008-05-27,NA,NA,NA,NA
"2043","Anopheles crucians",NA,NA,1,NA,4,NA,34,6,2008-05-27,NA,NA,NA,NA
"2044","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2008-05-27,NA,NA,NA,NA
"2045","Culex  erraticus",4,1,2,NA,7,NA,25,6,2008-05-27,NA,NA,NA,NA
"2046","C. nigrapalpus",NA,NA,NA,NA,NA,NA,42,6,2008-05-27,NA,NA,NA,NA
"2047","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2008-05-27,NA,NA,NA,NA
"2048","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2008-05-27,NA,NA,NA,NA
"2049","C.  salinarius",NA,NA,NA,NA,NA,NA,23,6,2008-05-27,NA,NA,NA,NA
"2050","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2008-05-27,NA,NA,NA,NA
"2051","Culiseta  melanura",NA,NA,NA,NA,1,NA,41,6,2008-05-27,NA,NA,NA,NA
"2052","Coquillettidia  perturbans",NA,NA,1,NA,NA,NA,60,6,2008-05-27,NA,NA,NA,NA
"2053","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2008-05-27,NA,NA,NA,NA
"2054","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2008-05-27,NA,NA,NA,NA
"2055","Psorophora  ciliata",NA,NA,NA,NA,1,1,51,6,2008-05-27,NA,NA,NA,NA
"2056","P. columbiae",NA,NA,2,NA,NA,NA,50,6,2008-05-27,NA,NA,NA,NA
"2057","P. ferox",NA,NA,1,NA,NA,NA,52,6,2008-05-27,NA,NA,NA,NA
"2058","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2008-05-27,NA,NA,NA,NA
"2059","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2008-05-27,NA,NA,NA,NA
"2060","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2008-05-27,NA,NA,NA,NA
"2061","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2008-05-27,NA,NA,NA,NA
"2062","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2008-05-27,NA,NA,NA,NA
"2063","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2008-05-27,NA,NA,NA,NA
"2064","Aedes albopictus",NA,NA,NA,NA,NA,NA,2,6,2008-05-15,NA,NA,NA,NA
"2065","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2008-05-15,NA,NA,NA,NA
"2066","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2008-05-15,NA,NA,NA,NA
"2067","Ochlerotatus atlanticus",NA,NA,3,4,NA,8,9,6,2008-05-15,NA,NA,NA,NA
"2068","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2008-05-15,NA,NA,NA,NA
"2069","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2008-05-15,NA,NA,NA,NA
"2070","O. infirmatus",NA,NA,NA,NA,NA,NA,7,6,2008-05-15,NA,NA,NA,NA
"2071","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2008-05-15,NA,NA,NA,NA
"2072","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2008-05-15,NA,NA,NA,NA
"2073","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2008-05-15,NA,NA,NA,NA
"2074","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2008-05-15,NA,NA,NA,NA
"2075","Anopheles crucians",NA,NA,NA,NA,NA,10,34,6,2008-05-15,NA,NA,NA,NA
"2076","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2008-05-15,NA,NA,NA,NA
"2077","Culex  erraticus",NA,NA,NA,NA,NA,NA,25,6,2008-05-15,NA,NA,NA,NA
"2078","C. nigrapalpus",NA,NA,NA,NA,NA,12,42,6,2008-05-15,NA,NA,NA,NA
"2079","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2008-05-15,NA,NA,NA,NA
"2080","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2008-05-15,NA,NA,NA,NA
"2081","C.  salinarius",NA,NA,NA,NA,NA,NA,23,6,2008-05-15,NA,NA,NA,NA
"2082","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2008-05-15,NA,NA,NA,NA
"2083","Culiseta  melanura",NA,NA,NA,NA,NA,NA,41,6,2008-05-15,NA,NA,NA,NA
"2084","Coquillettidia  perturbans",NA,NA,NA,NA,NA,NA,60,6,2008-05-15,NA,NA,NA,NA
"2085","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2008-05-15,NA,NA,NA,NA
"2086","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2008-05-15,NA,NA,NA,NA
"2087","Psorophora  ciliata",NA,NA,NA,NA,NA,NA,51,6,2008-05-15,NA,NA,NA,NA
"2088","P. columbiae",NA,NA,NA,NA,NA,NA,50,6,2008-05-15,NA,NA,NA,NA
"2089","P. ferox",NA,NA,NA,NA,NA,NA,52,6,2008-05-15,NA,NA,NA,NA
"2090","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2008-05-15,NA,NA,NA,NA
"2091","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2008-05-15,NA,NA,NA,NA
"2092","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2008-05-15,NA,NA,NA,NA
"2093","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2008-05-15,NA,NA,NA,NA
"2094","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2008-05-15,NA,NA,NA,NA
"2095","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2008-05-15,NA,NA,NA,NA
"2096","Aedes albopictus",NA,NA,1,NA,NA,NA,2,6,2009-05-05,NA,NA,NA,NA
"2097","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2009-05-05,NA,NA,NA,NA
"2098","A. vexans",NA,NA,NA,3,3,19,1,6,2009-05-05,NA,NA,NA,NA
"2099","Ochlerotatus atlanticus",6,NA,3,NA,6,12,9,6,2009-05-05,NA,NA,NA,NA
"2100","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2009-05-05,NA,NA,NA,NA
"2101","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2009-05-05,NA,NA,NA,NA
"2102","O. infirmatus",26,NA,19,12,39,30,7,6,2009-05-05,NA,NA,NA,NA
"2103","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2009-05-05,NA,NA,NA,NA
"2104","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2009-05-05,NA,NA,NA,NA
"2105","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2009-05-05,NA,NA,NA,NA
"2106","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2009-05-05,NA,NA,NA,NA
"2107","Anopheles crucians",8,NA,3,NA,2,NA,34,6,2009-05-05,NA,NA,NA,NA
"2108","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2009-05-05,NA,NA,NA,NA
"2109","Culex  erraticus",3,NA,1,NA,NA,5,25,6,2009-05-05,NA,NA,NA,NA
"2110","C. nigrapalpus",NA,NA,NA,NA,NA,4,42,6,2009-05-05,NA,NA,NA,NA
"2111","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2009-05-05,NA,NA,NA,NA
"2112","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2009-05-05,NA,NA,NA,NA
"2113","C.  salinarius",NA,NA,NA,NA,NA,NA,23,6,2009-05-05,NA,NA,NA,NA
"2114","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2009-05-05,NA,NA,NA,NA
"2115","Culiseta  melanura",2,NA,NA,NA,NA,5,41,6,2009-05-05,NA,NA,NA,NA
"2116","Coquillettidia  perturbans",NA,NA,1,NA,NA,1,60,6,2009-05-05,NA,NA,NA,NA
"2117","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,6,2009-05-05,NA,NA,NA,NA
"2118","M. dyari",NA,NA,NA,NA,NA,NA,48,6,2009-05-05,NA,NA,NA,NA
"2119","Psorophora  ciliata",NA,NA,NA,NA,NA,NA,51,6,2009-05-05,NA,NA,NA,NA
"2120","P. columbiae",NA,NA,NA,NA,NA,NA,50,6,2009-05-05,NA,NA,NA,NA
"2121","P. ferox",NA,NA,NA,2,4,18,52,6,2009-05-05,NA,NA,NA,NA
"2122","P. howardii",NA,NA,NA,NA,NA,NA,54,6,2009-05-05,NA,NA,NA,NA
"2123","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,6,2009-05-05,NA,NA,NA,NA
"2124","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,6,2009-05-05,NA,NA,NA,NA
"2125","U.  lowii",NA,NA,NA,NA,NA,NA,71,6,2009-05-05,NA,NA,NA,NA
"2126","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,6,2009-05-05,NA,NA,NA,NA
"2127","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,6,2009-05-05,NA,NA,NA,NA
"2128","Aedes albopictus",NA,NA,NA,NA,NA,NA,2,10,2014-05-06,NA,NA,NA,NA
"2129","A. aegypti",NA,NA,NA,NA,NA,NA,3,10,2014-05-06,NA,NA,NA,NA
"2130","A. vexans",NA,NA,NA,NA,NA,NA,1,10,2014-05-06,NA,NA,NA,NA
"2131","Ochlerotatus atlanticus",NA,NA,NA,NA,NA,NA,9,10,2014-05-06,NA,NA,NA,NA
"2132","O. dupreei",NA,NA,NA,NA,NA,NA,18,10,2014-05-06,NA,NA,NA,NA
"2133","O. fulvus pallens",NA,NA,2,NA,NA,NA,8,10,2014-05-06,NA,NA,NA,NA
"2134","O. infirmatus",8,NA,3,NA,NA,76,7,10,2014-05-06,NA,NA,NA,18
"2135","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,10,2014-05-06,NA,NA,NA,NA
"2136","O. sollicitans",NA,NA,NA,NA,NA,NA,15,10,2014-05-06,NA,NA,NA,NA
"2137","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,10,2014-05-06,NA,NA,NA,NA
"2138","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,10,2014-05-06,NA,NA,NA,NA
"2139","Anopheles crucians",208,84,5,1,NA,168,34,10,2014-05-06,NA,368,56,84
"2140","A. quadrimaculatus",4,12,2,NA,NA,NA,31,10,2014-05-06,NA,12,NA,NA
"2141","Culex  erraticus",24,NA,NA,NA,NA,8,25,10,2014-05-06,NA,NA,72,20
"2142","C. nigripalpus",32,80,8,NA,7,12,42,10,2014-05-06,NA,32,152,28
"2143","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,10,2014-05-06,NA,NA,NA,NA
"2144","C. restuans",NA,NA,NA,NA,NA,NA,21,10,2014-05-06,NA,NA,NA,NA
"2145","C.  salinarius",NA,NA,NA,NA,NA,NA,23,10,2014-05-06,NA,NA,NA,NA
"2146","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,10,2014-05-06,NA,NA,NA,NA
"2147","Culiseta  melanura",60,NA,NA,NA,NA,16,41,10,2014-05-06,NA,NA,24,NA
"2148","Coquillettidia  perturbans",8,52,3,NA,NA,44,60,10,2014-05-06,6,196,300,44
"2149","Mansonia  titillans",NA,NA,NA,NA,NA,NA,47,10,2014-05-06,NA,NA,NA,NA
"2150","M. dyari",NA,NA,NA,NA,NA,NA,48,10,2014-05-06,NA,36,NA,NA
"2151","Psorophora  ciliata",NA,NA,NA,NA,NA,NA,51,10,2014-05-06,NA,NA,NA,NA
"2152","P. columbiae",NA,NA,NA,NA,NA,NA,50,10,2014-05-06,NA,NA,NA,NA
"2153","P. ferox",NA,NA,2,2,NA,12,52,10,2014-05-06,NA,4,NA,6
"2154","P. howardii",NA,NA,NA,NA,NA,NA,54,10,2014-05-06,NA,NA,NA,NA
"2155","Toxorhynchites rutilus",NA,NA,NA,NA,NA,NA,88,10,2014-05-06,NA,NA,NA,NA
"2156","Uranotaenia  sapphirina",NA,NA,NA,NA,NA,NA,70,10,2014-05-06,NA,NA,NA,NA
"2157","U.  lowii",NA,NA,4,NA,1,NA,71,10,2014-05-06,2,NA,8,NA
"2158","Wyeomyia  mitchellii",NA,NA,NA,NA,NA,NA,80,10,2014-05-06,NA,NA,NA,NA
"2159","W.  vanduzeei",NA,NA,NA,NA,NA,NA,82,10,2014-05-06,NA,NA,NA,NA
"2160","Other",NA,NA,NA,NA,NA,NA,100,10,2014-05-06,NA,NA,NA,NA
"2161","Aedes albopictus",NA,NA,NA,NA,NA,NA,2,6,2008-05-12,NA,NA,NA,NA
"2162","A. aegypti",NA,NA,NA,NA,NA,NA,3,6,2008-05-12,NA,NA,NA,NA
"2163","A. vexans",NA,NA,NA,NA,NA,NA,1,6,2008-05-12,NA,NA,NA,NA
"2164","Ochlerotatus atlanticus",NA,2,NA,NA,NA,NA,9,6,2008-05-12,NA,NA,NA,NA
"2165","O. dupreei",NA,NA,NA,NA,NA,NA,18,6,2008-05-12,NA,NA,NA,NA
"2166","O. fulvus pallens",NA,NA,NA,NA,NA,NA,8,6,2008-05-12,NA,NA,NA,NA
"2167","O. infirmatus",NA,NA,NA,NA,NA,NA,7,6,2008-05-12,NA,NA,NA,NA
"2168","O.  mitchellae",NA,NA,NA,NA,NA,NA,6,6,2008-05-12,NA,NA,NA,NA
"2169","O. solicitans",NA,NA,NA,NA,NA,NA,15,6,2008-05-12,NA,NA,NA,NA
"2170","O.  taeniorhynchus",NA,NA,NA,NA,NA,NA,5,6,2008-05-12,NA,NA,NA,NA
"2171","O.  triseriatus",NA,NA,NA,NA,NA,NA,14,6,2008-05-12,NA,NA,NA,NA
"2172","Anopheles crucians",NA,1,NA,NA,NA,2,34,6,2008-05-12,NA,NA,NA,NA
"2173","A. quadrimaculatus",NA,NA,NA,NA,NA,NA,31,6,2008-05-12,NA,NA,NA,NA
"2174","Culex  erraticus",NA,NA,NA,NA,NA,NA,25,6,2008-05-12,NA,NA,NA,NA
"2175","C. nigrapalpus",NA,NA,NA,NA,NA,NA,42,6,2008-05-12,NA,NA,NA,NA
"2176","C.  quinquefasciatus",NA,NA,NA,NA,NA,NA,27,6,2008-05-12,NA,NA,NA,NA
"2177","C. restuans",NA,NA,NA,NA,NA,NA,21,6,2008-05-12,NA,NA,NA,NA
"2178","C.  salinarius",NA,NA,NA,NA,NA,NA,23,6,2008-05-12,NA,NA,NA,NA
"2179","Culiseta  inornata",NA,NA,NA,NA,NA,NA,40,6,2008-05-12,NA,NA,NA,NA
"2180","Culiseta  melanura",NA,NA,NA,NA,NA,NA,41,6,2008-05-12,NA,NA,NA,NA
"2181","Coquillettidia  perturbans",NA,NA,NA,NA,NA,1,60,6,2008-05-12,NA,NA,NA,NA
